"timestamp"	"Mean"	"Median"	"95th percentile"	"99th Percentile"
2014-11-25	549	536	986.66	1040.22
2014-11-26	388	439	496.56	509.52
2014-12-01	625	663	689.4	691.8
2014-12-02	665	486	1166	2078.21999999999
2014-12-03	704	481	1229	2405
2014-12-04	718	480	1304	2552
2014-12-05	713	484	1268.12	2516.2
2014-12-06	661	472	1178	2177.56
2014-12-07	680	478	1214	2338.24
2014-12-08	840	479	1342.26	2969.09999999999
2014-12-09	700	445	1279.34	2514.78
2014-12-10	700	420	1283	2753.94
2014-12-11	698	423	1312	2870.55999999996
2014-12-12	707	420	1270.18	2928.17999999999
2014-12-13	622	414	1137	2314
2014-12-14	636	409	1148.06	2199
2014-12-15	690	416	1235.78	2589.26
2014-12-16	681	423	1274.38	2665.3
2014-12-17	715	425	1266	2613.48000000001
2014-12-18	663	422	1242	2535.02
2014-12-19	676	415	1198	2567.72
2014-12-20	635	407	1105	2182.34
2014-12-21	851	411	1107	2168.52
2014-12-22	671	417	1223	2597.88
2014-12-23	763	420	1278.46	2809.64
2014-12-24	641	409	1137	2339.8
2014-12-25	720	405	1144.86	2387
2014-12-26	680	412	1144.60000000001	2368.19999999998
2014-12-27	659	415	1148	2413.16
2014-12-28	771	418	1216.14	2477.75999999999
2014-12-29	727	419	1252	2642
2014-12-30	685	422	1160	2374.24000000001
2014-12-31	648	411	1159	2428
2015-01-01	619	410	1100	2164.12
2015-01-02	678	425	1226	2514.59999999999
2015-01-03	930	422	1186	2473.12
2015-01-04	661	415	1109	2296.6
2015-01-05	630	414	1128	2344
2015-01-06	662	423	1224	2444.02
2015-01-07	668	422	1227.02	2551
2015-01-08	711	420	1241	2633.88
2015-01-09	672	421	1235	2598.3
2015-01-10	631	409	1161	2290.24000000001
2015-01-11	644	417	1136.32	2168
2015-01-12	667	423	1301.92000000001	2769
2015-01-13	717	430	1302	2807.84
2015-01-14	716	431	1299.4	2684.60000000001
2015-01-15	648	425	1274.64	2684.39999999999
2015-01-16	700	434	1277	2796.91999999998
2015-01-17	685	420	1202.78000000001	2646.52
2015-01-18	646	426	1207	2422.1
2015-01-19	681	429	1256	2595.64000000001
2015-01-20	699	429	1317	2933.62
2015-01-21	689	431	1284	2704.38
2015-01-22	698	433	1315.32	2812.32000000001
2015-01-23	700	433	1326	2812.5
2015-01-24	667	424	1217	2625.24000000001
2015-01-25	714	423	1209.82000000001	2460
2015-01-26	701	439	1379	3023.97999999999
2015-01-27	687	429	1333	2989
2015-01-28	731	432	1389.46	3157.28
2015-01-29	747	441	1439.72	3171
2015-01-30	716	432	1326	2917.56
2015-01-31	677	425	1267	2706.07999999999
2015-02-01	686	424	1190.9	2445.59999999999
2015-02-02	729	431	1348	2886.44
2015-02-03	718	431	1330	2950.8
2015-02-04	751	438	1466	3273.8
2015-02-05	756	437	1456	3302.13999999999
2015-02-06	713	421	1318.06	2937.02
2015-02-07	665	410	1184	2479.26
2015-02-08	623	418	1193	2506.11999999998
2015-02-09	813	427	1451	3858.89999999999
2015-02-10	752	433	1458.12	3238.12
2015-02-11	782	432	1476.14	3404.75999999999
2015-02-12	835	429	1456	3297
2015-02-13	740	422	1381.86	3151.82000000003
2015-02-14	696	415	1255	2749.39999999999
2015-02-15	639	416	1178.08	2462.36
2015-02-16	-505	422	1329	2741.36
2015-02-17	727	421	1342.34	2866.78
2015-02-18	706	426	1367	2987.02
2015-02-19	761	421	1354	3228.32000000001
2015-02-20	697	424	1399.38	3020.46
2015-02-21	-14547	414	1271	2696.72
2015-02-22	667	411	1268	2709.62
2015-02-23	694	415	1271.86	2775.24000000001
2015-02-24	711	423	1339	2950
2015-02-25	731	426	1384.62	3042
2015-02-26	734	425	1378	3084.44
2015-02-27	727	421	1448.06	3319.31999999995
2015-02-28	647	414	1265	2731
2015-03-01	677	415	1254	2705.33999999997
2015-03-02	728	428	1416	3294.95999999999
2015-03-03	744	430	1523	3448.24000000001
2015-03-04	769	426	1465	3460.08
2015-03-05	813	433	1472.98	3461.66
2015-03-06	758	430	1418.66	3059
2015-03-07	679	416	1271	2613
2015-03-08	668	420	1294	2671.22
2015-03-09	761	432	1406	3095.86
2015-03-10	742	442	1412	3283.58
2015-03-11	748	445	1465	3076.84
2015-03-12	872	458	1625	3708.29999999998
2015-03-13	825	467	1594.44	3449.48
2015-03-14	736	447	1448	3214.32
2015-03-15	689	435	1325	2803.66
2015-03-16	909	448	1588	3547.24
2015-03-17	840	436	1483	3687.10000000001
2015-03-18	830	442	1484.66	3523.88
2015-03-19	810	445	1460	3294.12
2015-03-20	897	447	1570.98	3644.29999999998
2015-03-21	729	440	1323.64000000001	2810
2015-03-22	950	437	1300.92000000001	2889.64
2015-03-23	764	442	1425	3125.04
2015-03-24	756	444	1496.56	3309.19999999997
2015-03-25	814	441	1495.32	3509.08000000002
2015-03-26	1135	448	1502	3381.27999999998
2015-03-27	826	445	1545	3742.84
2015-03-28	776	434	1400	3240
2015-03-29	727	435	1343.22	2966.74
2015-03-30	766	441	1415.08	3347
2015-03-31	776	465	1511	3266.19999999999
2015-04-01	811	470	1430.56	3269.07999999999
2015-04-02	842	478	1567	3483.60000000001
2015-04-03	738	471	1340	2858.43999999999
2015-04-04	757	462	1280	2655
2015-04-05	735	464	1233	2675.5
2015-04-06	742	471	1266	2648
2015-04-07	782	478	1383	2956.59999999998
2015-04-08	772	481	1416	2926.09999999999
2015-04-09	919	476	1443	3225.79999999999
2015-04-10	839	484	1501	3373.74
2015-04-11	814	477	1372	2968.75999999999
2015-04-12	746	475	1345	2828.56
2015-04-13	774	481	1391	3228.26
2015-04-14	793	489	1452	3029.15999999998
2015-04-15	846	494	1574	3590.95999999999
2015-04-16	-7722	492	1605	3631.16
2015-04-17	817	483	1453.88	3248.96
2015-04-18	868	489	1413.36	3170.59999999998
2015-04-19	760	488	1369	2940
2015-04-20	817	499	1501	3285.59999999999
2015-04-21	809	498	1495	3339.32000000001
2015-04-22	829	496	1553	3426
2015-04-23	-31868	492	1464	3400.09999999997
2015-04-24	891	506	1560	3783.32000000001
2015-04-25	797	491	1465	3310.6
2015-04-26	842	491	1385	2889.18
2015-04-27	872	501	1544.46000000001	3321.64
2015-04-28	817	500	1466	3247.5
2015-04-29	825	496	1450	3257.88
2015-04-30	949	509	1592	3595
2015-05-01	801	498	1475	3191.75999999999
2015-05-02	819	496	1432	3046
2015-05-03	748	485	1329	2765.9
2015-05-04	831	506	1522	3344.06
2015-05-05	851	508	1629	3558.72
2015-05-06	879	511	1598	3742.07999999999
2015-05-07	901	513	1555	3526.84
2015-05-08	822	511	1538	3423.56
2015-05-09	1084	512	1518	3428.96
2015-05-10	811	515	1420	3055
2015-05-11	1171	510	1586	3785.92
2015-05-12	927	510	1556	3588.72
2015-05-13	883	500	1566	3637.28000000001
2015-05-14	998	499	1564.34	3534.56
2015-05-15	860	492	1544	3471.64000000001
2015-05-16	785	485	1381.62	2987
2015-05-17	838	499	1443	3057.09999999998
2015-05-18	916	497	1625.06	3948.02
2015-05-19	794	490	1480	3296.74000000001
2015-05-20	854	498	1599.96	3883.6
2015-05-21	802	491	1490.58	3343
2015-05-22	843	488	1538	3536
